,% Women,% Men, Year of Results
University of Arizona,,,
Barnard College.,,,
Brown University,15%,85%,2011
Bryn Mawr College,,,
California Institute of Technology (Cal Tech),,,
California Polytechnic State University (Cal Poly SLO),,,
Cedar Crest College,,,
Christopher Newport University,,,
CMU,40%,60%,2014
Columbia University,,,
Dartmouth,24%,76%,2013
University of Florida,,,
George Mason University,,,
George Washington University,,,
Georgia Tech,,,
Harvey Mudd College,40%,60%,2006
Howard University,,,
Indiana,,,
Maryland (UMD),,,
McGill,,,
Michigan,,,
Mills College,,,
Minnesota,,,
MIT,,,
New York University (NYU),,,
North Carolina State University (NCSU),,,
Northeastern University,,,
Northwestern University,,,
Ohio State University,,,
Oregon,,,
Oregon State University,,,
Portland State,,,
Purdue University,,,
Rensselaer Polytechnic Institute,15%,85%,2014
Rice University,36%,64%,2014
Rochester Institute of Technology (RIT),33%,67%,2015
Rose Hulman Institute of Technology (RHIT),,,
Seattle University,,,
Simmons College,,,
Smith College,,,
Southern Methodist University,,,
Southern Oregon University,,,
Spelman College,,,
Stanford University,30%,70%,2015
Stevens Institute of Technology,,,
Stony Brook University,,,
Syracuse,,,
Tarleton State University,,,
Texas A&M University,,,
Tougaloo College,,,
Tuskegee University,,,
UBC,,,
UC - Berkeley,,,
UC - Irvine,,,
UC - Los Angeles (UCLA),,,
UC - San Diego (UCSD),,,
University of Chicago,,,
University of Houston,,,
University of Illinois at Urbana-Champaign (UIUC),,,
"University of Illinois, Chicago",,,
"University of Maryland, Baltimore County (UMBC)",,,
University of North Texas,,,
University of Pennsylvania,,,
University of Portland,,,
University of Victoria,,,
University of Washington,,,
USC,,,
UT - Austin,,,
UT - Dallas,,,
University of Virginia,,,
Virginia Tech,,,
Washington State University,,,
Waterloo,,,
Wellesley College,,,
Western Washington University,,,
Wichita State,,,
University of Wisconsin,,,
Xavier University of Louisiana,,,
